cidade,codigo_pais,temperatura,sensacao_termica,temperatura_min,temperatura_max,umidade,descricao_clima,horario_medicao
London,GB,17.07,15.9,16.11,18.06,41,algumas nuvens,24/09/2025 16:23:45
Mariehamn,AX,9.92,9.52,9.92,9.92,76,algumas nuvens,24/09/2025 16:23:52
Warsaw,PL,13.98,12.53,12.66,14.88,42,céu limpo,24/09/2025 16:22:38
Hamilton,BM,27.86,31.46,27.78,28.38,78,nublado,24/09/2025 16:23:55
Antananarivo,MG,18.98,18.47,18.98,18.98,59,algumas nuvens,24/09/2025 16:23:57
Cayenne,GF,32.02,36.53,32.02,32.02,58,nublado,24/09/2025 16:23:58
Maseru,LS,16.9,15.46,16.9,16.9,31,algumas nuvens,24/09/2025 16:24:00
Gaborone,BW,26.95,26.78,26.95,26.95,39,céu limpo,24/09/2025 16:24:01
Georgetown,GY,32.99,37.79,32.99,32.99,55,algumas nuvens,24/09/2025 16:23:11
Singapore,SG,28.08,32.95,26.92,29.4,84,nublado,24/09/2025 16:23:19
Accra,GH,27.23,30.59,27.23,27.23,83,chuva leve,24/09/2025 16:21:39
Ankara,TR,24.88,24.31,24.58,25.51,34,céu limpo,24/09/2025 16:24:11
Asunción,PY,29.06,28.33,28.69,30.83,36,céu limpo,24/09/2025 16:21:48
Plymouth,MS,29.23,35.16,29.23,29.23,79,chuva moderada,24/09/2025 16:22:50
Ashgabat,TM,22.92,21.97,22.92,22.92,27,nuvens dispersas,24/09/2025 16:24:15
Paramaribo,SR,33.18,35.53,33.18,33.18,46,algumas nuvens,24/09/2025 16:24:17
Ottawa,CA,22.12,22.08,20.97,23.02,65,nuvens dispersas,24/09/2025 16:21:31
Lilongwe,MW,26.11,26.11,26.11,26.11,41,céu limpo,24/09/2025 16:24:20
Bishkek,KG,14.11,13.04,14.11,14.11,56,céu limpo,24/09/2025 16:24:21
Djibouti,DJ,31.76,31.17,31.76,31.76,35,chuva leve,24/09/2025 16:16:35
Yaoundé,CM,22.25,23.01,22.25,22.25,95,chuva leve,24/09/2025 16:16:36
Longyearbyen,SJ,-1.09,-5.71,-1.09,-1.09,86,nuvens dispersas,24/09/2025 16:16:38
Kingstown,VC,29.6,34.99,29.6,29.6,74,trovoadas,24/09/2025 16:16:39
Luanda,AO,22.71,23.13,22.71,22.71,80,nuvens dispersas,24/09/2025 16:16:40
Nuuk,GL,1.34,-1.5,1.34,1.34,100,névoa,24/09/2025 16:16:45
Brazzaville,CG,34.44,34.71,34.44,34.44,34,nublado,24/09/2025 16:16:46
Bridgetown,BB,31.27,37.1,31.27,31.27,66,nuvens dispersas,24/09/2025 16:16:48
Alofi,NU,21.94,22.36,21.94,21.94,83,algumas nuvens,24/09/2025 16:16:49
Tripoli,LY,30.92,31.1,30.92,30.92,42,nuvens dispersas,24/09/2025 16:16:55
Conakry,GN,26.04,26.04,26.04,26.04,83,chuva leve,24/09/2025 16:16:56
Bratislava,SK,13.61,13.43,13.12,13.81,92,nublado,24/09/2025 16:16:48
Nouméa,NC,19.08,18.74,19.08,19.08,65,nublado,24/09/2025 16:16:59
Dushanbe,TJ,20.9,20.25,20.9,20.9,46,fumaça,24/09/2025 16:17:01
Mata-Utu,WF,26.53,26.53,26.53,26.53,83,chuva leve,24/09/2025 16:17:02
Kinshasa,CD,33.38,33.74,33.38,33.38,37,nublado,24/09/2025 16:17:04
Riyadh,SA,33.76,31.31,33.76,33.76,13,céu limpo,24/09/2025 16:17:05
Berlin,DE,16.24,15.25,15.01,16.66,51,céu limpo,24/09/2025 16:15:01
Thimphu,BT,12.56,12.33,12.56,12.56,94,nublado,24/09/2025 16:17:09
Dakar,SN,27.92,32.05,27.07,27.92,81,chuva leve,24/09/2025 16:17:15
Niamey,NE,34.16,37.43,34.16,34.16,46,algumas nuvens,24/09/2025 16:17:14
Roseau,DM,32.36,39.36,32.36,32.36,70,algumas nuvens,24/09/2025 16:15:15
Canberra,AU,6.42,2.83,4.73,7.99,83,nuvens dispersas,24/09/2025 16:17:02
Port-aux-Français,TF,0.32,-6.68,0.32,0.32,68,nublado,24/09/2025 16:17:22
Harare,ZW,25.46,25.05,25.46,25.46,38,céu limpo,24/09/2025 16:17:25
Gustavia,BL,27.45,32.33,27.45,27.84,92,chuva forte,24/09/2025 16:13:24
Manila,PH,25.64,26.74,24.47,26.0,95,nublado,24/09/2025 16:17:30
Seoul,KR,20.76,21.5,20.76,20.76,100,chuva leve,24/09/2025 16:15:53
Vienna,AT,12.21,11.86,11.47,13.19,91,garoa de leve intensidade,24/09/2025 16:15:52
Quito,EC,19.53,18.9,19.53,19.53,52,nublado,24/09/2025 16:14:25
Mamoudzou,YT,25.79,26.33,25.79,25.79,73,algumas nuvens,24/09/2025 16:13:01
Lusaka,ZM,27.14,26.26,27.14,27.14,23,céu limpo,24/09/2025 16:16:35
Yaren,NR,27.4,29.76,27.4,27.4,72,céu limpo,24/09/2025 16:17:43
Wellington,NZ,11.59,11.05,11.42,12.59,86,nublado,24/09/2025 16:15:55
Bissau,GW,24.06,25.13,24.06,24.06,100,trovoada com chuva fraca,24/09/2025 16:17:46
Malé,MV,29.97,35.96,29.97,29.97,74,nublado,24/09/2025 16:17:47
Freetown,SL,27.28,29.94,27.28,27.28,76,chuva leve,24/09/2025 16:17:50
Kigali,RW,24.29,23.85,24.29,24.71,41,nublado,24/09/2025 16:17:51
Mogadishu,SO,24.92,25.63,24.92,24.92,83,algumas nuvens,24/09/2025 16:17:39
Praia,CV,30.3,34.78,30.3,30.3,66,chuva leve,24/09/2025 16:17:54
Tehran,IR,23.73,22.81,23.73,23.99,25,algumas nuvens,24/09/2025 16:15:15
Cairo,EG,29.42,28.51,29.12,29.42,34,céu limpo,24/09/2025 16:15:56
Riga,LV,9.46,8.99,9.46,10.04,84,nuvens dispersas,24/09/2025 16:17:59
Baku,AZ,18.03,17.9,18.03,18.03,77,céu limpo,24/09/2025 16:18:00
Gibraltar,GI,22.78,23.33,22.78,22.97,85,nuvens dispersas,24/09/2025 16:18:01
Damascus,SY,27.42,28.13,27.42,27.42,54,céu limpo,24/09/2025 16:14:20
Pyongyang,KP,18.5,18.89,18.5,18.5,95,nublado,24/09/2025 16:18:07
Havana,CU,31.24,38.24,30.85,31.24,74,nublado,24/09/2025 16:18:09
Basse-Terre,GP,30.58,35.43,30.58,30.58,66,nuvens dispersas,24/09/2025 16:18:10
Prague,CZ,13.96,13.11,12.73,15.03,65,chuva leve,24/09/2025 16:18:11
Porto-Novo,BJ,24.9,25.9,24.9,24.9,94,chuva leve,24/09/2025 16:18:13
Bucharest,RO,23.26,22.79,22.7,23.94,44,céu limpo,24/09/2025 16:14:35
Apia,WS,23.84,24.47,23.84,23.84,84,chuva leve,24/09/2025 16:18:19
Yamoussoukro,CI,31.59,34.81,31.59,31.94,55,chuva leve,24/09/2025 16:18:20
Astana,KZ,16.97,16.47,16.97,16.97,67,céu limpo,24/09/2025 16:18:22
Tirana,AL,25.49,25.4,25.49,25.49,50,algumas nuvens,24/09/2025 16:15:31
Copenhagen,DK,15.01,13.9,14.19,15.08,51,céu limpo,24/09/2025 16:13:26
Castries,LC,30.2,37.2,30.07,31.04,79,nublado,24/09/2025 16:18:26
Santiago,CL,24.81,24.16,24.36,25.33,31,céu limpo,24/09/2025 16:13:46
Tunis,TN,34.5,32.98,34.5,34.5,24,nublado,24/09/2025 16:18:30
Nassau,BS,29.99,35.01,29.99,29.99,70,nublado,24/09/2025 16:18:32
Valletta,MT,26.3,26.3,26.3,26.3,78,algumas nuvens,24/09/2025 16:18:33
Kralendijk,BQ,32.99,39.99,32.99,32.99,66,nuvens dispersas,24/09/2025 16:17:19
Marigot,MF,28.5,35.5,27.05,28.88,91,algumas nuvens,24/09/2025 16:18:36
Islamabad,PK,29.91,34.82,29.91,29.91,70,céu limpo,24/09/2025 16:17:03
Tegucigalpa,HN,25.81,26.25,25.81,26.42,69,nuvens dispersas,24/09/2025 16:18:24
Skopje,MK,30.82,29.06,30.82,30.82,23,algumas nuvens,24/09/2025 16:18:13
Montevideo,UY,12.94,11.86,12.55,14.01,60,algumas nuvens,24/09/2025 16:14:26
Beijing,CN,15.94,14.79,15.94,15.94,46,céu limpo,24/09/2025 16:15:00
Muscat,OM,31.12,35.36,31.12,31.12,61,céu limpo,24/09/2025 16:14:38
Suva,FJ,18.71,19.25,18.71,18.71,100,algumas nuvens,24/09/2025 16:15:29
Amsterdam,NL,15.21,14.33,14.89,15.55,59,algumas nuvens,24/09/2025 16:17:41
Managua,NI,31.69,35.8,31.69,31.69,58,nuvens dispersas,24/09/2025 16:17:34
Jamestown,SH,16.48,16.14,16.48,16.48,75,nublado,24/09/2025 16:18:57
Avarua,CK,20.03,19.99,20.03,20.03,73,nublado,24/09/2025 16:18:59
Oranjestad,AW,32.97,39.97,32.97,32.97,62,algumas nuvens,24/09/2025 16:19:02
Belgrade,RS,25.4,25.41,23.54,25.74,54,chuva forte,24/09/2025 16:16:01
Bern,CH,11.76,10.82,11.25,13.97,70,chuva leve,24/09/2025 16:15:09
Vientiane,LA,25.97,25.97,25.97,25.97,73,nublado,24/09/2025 16:18:18
Maputo,MZ,21.79,22.3,21.79,21.82,87,nublado,24/09/2025 16:15:46
Libreville,GA,26.06,26.06,26.06,26.06,77,nublado,24/09/2025 16:19:10
Rome,IT,23.77,23.8,22.63,25.32,61,nuvens dispersas,24/09/2025 16:15:00
Lomé,TG,24.41,25.23,24.41,24.41,89,chuva leve,24/09/2025 16:16:01
Philipsburg,SX,28.92,35.92,27.13,28.97,90,algumas nuvens,24/09/2025 16:17:13
Monrovia,LR,26.65,26.65,26.65,26.65,76,nublado,24/09/2025 16:19:16
Rabat,MA,22.04,22.08,22.04,22.04,68,nublado,24/09/2025 16:14:21
Kyiv,UA,12.62,12.05,12.62,12.62,81,nublado,24/09/2025 16:19:19
Saint-Pierre,PM,15.98,15.51,15.98,15.98,72,nublado,24/09/2025 16:19:20
Hagåtña,GU,27.0,30.95,26.83,28.01,92,nublado,24/09/2025 16:19:22
Helsinki,FI,9.27,7.05,7.78,10.43,55,céu limpo,24/09/2025 16:15:45
Bangkok,TH,28.47,31.45,28.28,28.94,69,nublado,24/09/2025 16:19:26
Port-au-Prince,HT,32.79,37.34,32.79,32.79,55,nuvens dispersas,24/09/2025 16:19:28
Vaduz,LI,12.06,11.72,9.99,12.59,92,chuva leve,24/09/2025 16:18:36
Dublin,IE,14.66,14.22,13.82,15.21,78,nublado,24/09/2025 16:18:48
Kabul,AF,20.34,19.03,20.34,20.34,23,céu limpo,24/09/2025 16:19:32
Jakarta,ID,28.77,31.09,25.5,28.94,63,nublado,24/09/2025 16:15:44
Basseterre,KN,31.21,38.17,31.21,31.21,70,chuva leve,24/09/2025 16:19:36
Kampala,UG,21.97,21.95,21.97,21.97,66,nublado,24/09/2025 16:19:39
