cidade,codigo_pais,temperatura,sensacao_termica,temperatura_min,temperatura_max,umidade,descricao_clima,horario_medicao
Yerevan,AM,17.09,15.95,17.09,17.09,42,céu limpo,1758730814
Dili,TL,26.64,26.64,26.64,26.64,47,nublado,1758730899
Budapest,HU,18.15,17.93,17.11,19.36,73,céu limpo,1758730769
Tallinn,EE,11.19,9.67,11.19,11.19,50,algumas nuvens,1758730902
Beirut,LB,26.41,26.41,24.1,26.41,65,nuvens dispersas,1758730745
Minsk,BY,9.43,7.4,9.43,9.43,59,nuvens dispersas,1758730882
Pristina,XK,26.11,26.11,25.34,26.77,41,céu limpo,1758730663
Funafuti,TV,27.94,31.22,27.94,27.94,75,céu limpo,1758730908
Abuja,NG,28.08,33.29,28.08,28.08,86,chuva leve,1758730911
Podgorica,ME,25.88,25.67,25.88,25.88,44,nuvens dispersas,1758730912
Kingston,JM,34.2,41.2,32.53,35.66,61,algumas nuvens,1758730887
Brasília,BR,26.5,26.5,25.9,27.25,56,nublado,1758730886
Willemstad,CW,32.95,39.95,32.95,32.95,70,nuvens dispersas,1758730916
Khartoum,SD,38.32,37.32,38.32,38.32,21,algumas nuvens,1758730919
Madrid,ES,20.4,19.2,19.51,21.68,27,céu limpo,1758730709
Kingston,NF,16.23,15.92,16.23,16.23,77,nublado,1758730922
Hanoi,VN,29.0,32.01,29.0,29.0,66,chuva leve,1758730924
Doha,QA,32.57,32.21,31.94,32.99,35,céu limpo,1758730662
Paris,FR,10.44,9.99,9.88,11.1,94,nublado,1758730801
Moscow,RU,9.42,7.03,8.24,9.63,52,nuvens dispersas,1758730923
Monaco,MC,20.86,19.92,19.67,20.88,35,algumas nuvens,1758730932
Athens,GR,25.66,26.0,24.62,26.88,66,algumas nuvens,1758730800
Nouakchott,MR,29.96,34.47,29.96,29.96,68,nublado,1758730664
Algiers,DZ,24.9,24.67,24.9,24.9,47,algumas nuvens,1758730704
Jerusalem,IL,21.51,21.83,21.51,21.51,81,céu limpo,1758730809
Saipan,MP,27.49,32.17,26.07,27.58,90,algumas nuvens,1758730942
